experiment,model,accuracy,precision,recall,f1,roc_auc,cleaning_strategy
Title_Basic,Logistic Regression,0.931155338590562,0.9240412979351033,0.93975,0.9318294496777392,0.9823718977187266,Basic
Title_Basic,Random Forest,0.9176367505319815,0.9022628791526239,0.937,0.9193034093696345,0.9767683003258962,Basic
Title_Basic,SVM,0.938790837401427,0.929112686384747,0.95025,0.939562476826103,0.9842536976685886,Basic
Text_Basic,Logistic Regression,0.9431718613093003,0.939514129895885,0.9475,0.9434901667911376,0.9868040235648033,Basic
Text_Basic,Random Forest,0.9091250469395419,0.9184560327198364,0.89825,0.9082406471183013,0.9704385810980197,Basic
Text_Basic,SVM,0.9494304668919765,0.945049504950495,0.9545,0.9497512437810945,0.9886880797192279,Basic
Title+Text_Basic,Logistic Regression,0.9397922142946552,0.9330543933054394,0.94775,0.9403447848195461,0.9853247681123088,Basic
Title+Text_Basic,Random Forest,0.912504693954187,0.9190149784209191,0.905,0.9119536465549818,0.9700757708698923,Basic
Title+Text_Basic,SVM,0.9464263362122919,0.9422981674096087,0.95125,0.946752923612839,0.987399818250188,Basic
Title+Subject_Basic,Logistic Regression,0.9591938916009513,0.9513513513513514,0.968,0.9596034696406444,0.993026635748308,Basic
Title+Subject_Basic,Random Forest,0.9132557266241081,0.9095863264800594,0.918,0.9137737961926092,0.9737251504136376,Basic
Title+Subject_Basic,SVM,0.9672049067467768,0.9610261470152935,0.974,0.9674695803327539,0.9950312735021309,Basic
Title_Aggressive,Logistic Regression,0.928526724245838,0.919911829537105,0.939,0.9293579116664604,0.9809533717723742,Aggressive
Title_Aggressive,Random Forest,0.9165102015270997,0.9043921378306237,0.93175,0.9178672577268809,0.9766519491100527,Aggressive
Title_Aggressive,SVM,0.93641256728001,0.9271037181996086,0.9475,0.9371909000989119,0.9835691902732515,Aggressive
Text_Aggressive,Logistic Regression,0.9495556390036299,0.943089430894309,0.957,0.9499937957562973,0.9888499623965907,Aggressive
Text_Aggressive,Random Forest,0.9175115784203279,0.9219499873705481,0.9125,0.9172006533484106,0.9744197793933317,Aggressive
Text_Aggressive,SVM,0.955313556139692,0.9496420636879783,0.96175,0.9556576822754937,0.9907214214088744,Aggressive
Title+Text_Aggressive,Logistic Regression,0.9401677306296157,0.9318293281020108,0.95,0.9408269373607329,0.9849660315868638,Aggressive
Title+Text_Aggressive,Random Forest,0.9172612341970209,0.9234085721531828,0.91025,0.9167820722648873,0.9724981198295312,Aggressive
Title+Text_Aggressive,SVM,0.9445487545374891,0.9353733170134639,0.95525,0.9452071737786023,0.9867767610930058,Aggressive
Title+Subject_Aggressive,Logistic Regression,0.9575666541494555,0.9516407599309153,0.96425,0.9579038867502794,0.9925643645023815,Aggressive
Title+Subject_Aggressive,Random Forest,0.9158843409688321,0.9122893954410307,0.9205,0.9163763066202091,0.974109457257458,Aggressive
Title+Subject_Aggressive,SVM,0.9643259481787457,0.9580764488286067,0.97125,0.9646182495344506,0.9951312358987215,Aggressive
